ruleID,maxExprInAlternation,maxExprCount,maxElementInExpr,containStartOfString,containIgnoreCase,containMultiline,contains_s_Flag,containsAFlag,containsEFlag,containsGFlag,containsRFlag,Quantifier Count,? quantifiers, + quantifiers, * quantifiers,Range Quantifiers,Bound Quantifiers {x/y}, Unbound Quantifiers {x/}, Exact Quantifiers {x/x}, character class Count,Real timing
0,1,1,9,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,736.377014
1,1,1,35,1,1,1,1,0,0,0,0,5,0,5,0,0,0,0,0,0,656.598816
2,1,1,9,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,736.377014
3,1,1,9,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,736.377014
4,1,1,6,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,509.68399
5,2,3,5,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,771.604919
6,2,3,9,1,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,2,473.484863
7,1,1,11,1,1,1,0,0,0,0,0,3,1,0,1,1,0,0,1,1,535.331909
8,1,1,6,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,736.919678
9,1,1,11,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,753.579468
10,1,1,9,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,736.377014
11,1,1,10,1,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,1,736.377014
12,1,1,15,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,732.600708
13,1,1,11,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,753.579468
14,1,1,27,1,1,1,1,0,0,0,0,3,0,2,0,1,0,0,1,1,663.129944
15,1,1,24,1,1,1,1,0,0,0,0,4,2,2,0,0,0,0,0,0,646.412415
16,1,1,7,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,736.919678
17,1,1,15,1,1,1,1,0,0,0,0,2,0,1,0,1,0,0,1,1,724.112915
18,1,1,6,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,736.919678
19,1,1,6,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,736.919678
20,1,1,12,1,1,1,1,0,0,0,0,2,0,1,0,1,0,0,1,1,790.513855
21,1,1,6,1,1,1,1,0,0,0,0,2,0,1,0,1,0,0,1,1,511.247437
22,1,1,5,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,593.119812
23,1,1,6,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,726.744141
24,1,1,6,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,726.744141
25,1,1,10,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,753.579468
26,1,1,5,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,762.776489
27,1,1,7,1,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,1,506.072876
28,1,1,7,1,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,1,506.072876
29,1,1,5,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,473.709137
30,1,1,6,1,1,1,1,0,0,0,0,2,0,0,1,1,0,0,1,1,464.03714
31,1,1,38,1,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,1,639.795288
32,1,1,10,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,736.377014
33,1,1,6,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,736.919678
34,1,1,11,1,1,1,1,0,0,0,0,2,0,1,0,1,0,0,1,1,771.604919
35,1,1,7,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,736.377014
36,1,1,12,1,1,1,1,0,0,0,0,2,0,1,0,1,0,0,1,1,790.513855
37,1,1,13,1,1,1,1,0,0,0,0,2,0,1,0,1,0,0,1,1,811.029968
38,1,1,12,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,541.711792
39,1,1,6,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,736.919678
40,1,1,6,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,736.919678
41,1,1,6,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,736.919678
42,1,1,6,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,726.744141
43,1,1,5,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,744.601624
44,1,1,6,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,726.744141
45,1,1,6,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,726.744141
46,1,1,6,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,736.919678
47,1,1,7,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,736.919678
48,1,1,7,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,736.919678
49,1,1,29,1,1,1,0,0,0,0,0,3,2,0,0,1,0,0,1,1,705.716248
50,1,1,10,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,736.377014
51,1,1,5,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,744.601624
52,1,1,5,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,744.601624
53,1,1,16,1,1,1,1,0,0,0,0,4,0,1,0,3,0,2,1,3,458.295166
54,1,1,16,1,1,1,1,0,0,0,0,4,0,1,0,3,0,2,1,3,460.829468
55,1,1,16,1,1,1,1,0,0,0,0,4,0,1,0,3,0,2,1,3,463.392029
56,1,1,16,1,1,1,1,0,0,0,0,4,0,1,0,3,0,2,1,3,460.829468
57,1,1,14,1,1,1,1,0,0,0,0,4,1,0,0,3,0,2,1,3,504.540863
58,1,1,10,1,1,1,1,0,0,0,0,3,0,3,0,0,0,0,0,0,736.377014
59,1,1,6,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,726.744141
60,1,1,6,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,736.919678
61,1,1,15,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,732.600708
62,1,1,6,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,744.601624
63,1,1,12,1,1,1,1,0,0,0,0,2,0,1,0,1,0,0,1,1,790.513855
64,1,1,6,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,736.919678
65,1,1,11,1,1,1,1,0,0,0,0,2,0,1,0,1,0,0,1,1,771.604919
66,1,1,10,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,753.579468
67,1,1,8,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,736.377014
68,1,1,9,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,726.216431
69,1,1,12,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,790.513855
70,1,1,9,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,736.377014
71,1,1,13,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,811.029968
72,1,1,7,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,726.216431
73,1,1,8,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,726.216431
74,1,1,10,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,753.579468
75,1,1,9,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,736.377014
76,2,3,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,771.604919
77,1,1,4,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,782.472595
78,1,1,5,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,762.776489
79,1,1,4,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,782.472595
80,1,1,5,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,762.776489
81,1,1,6,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,744.047607
82,1,1,7,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,744.047607
83,1,1,5,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,762.776489
84,1,1,6,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,744.047607
85,1,1,5,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,762.776489
86,1,1,5,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,762.776489
87,1,1,19,1,1,1,0,0,0,0,0,3,2,1,0,0,0,0,0,0,709.219849
88,1,1,12,1,1,1,1,0,0,0,0,2,1,0,0,1,0,1,0,1,790.513855
89,1,1,23,1,1,1,1,0,0,0,0,5,1,3,0,1,0,0,1,2,450.856628
90,2,3,22,1,1,1,1,0,0,0,0,5,2,2,1,0,0,0,0,0,435.9198
91,1,1,13,1,1,1,1,0,0,0,0,3,0,2,0,1,0,0,1,1,811.029968
92,1,1,15,1,1,1,1,0,0,0,0,3,0,2,0,1,0,0,1,1,740.740723
93,1,1,6,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,726.744141
94,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
95,1,1,17,1,1,1,0,0,0,0,0,4,3,0,0,1,0,0,1,1,463.821899
96,1,1,21,1,1,1,0,0,0,0,0,4,3,0,0,1,0,0,1,1,448.229492
